Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;                  Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;;;;;;;;;;;;;;;;;;;;;;
;                  Superintendência de Defesa da Concorrência;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Produção Nacional de Biodiesel Puro - B100 (b) ;;;;;;;;;;;;;;;;;;;;;;
;Periodicidade: Mensal;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Índice:;;;;;;;;;;;;;;;;;;;;;;
;Produção de biodiesel¹ - B100 por estado e produtor² - 2005-2022 (b);;;;;;;;;;;;;;;;;;;;;;
;Produção de biodiesel¹ - B100 por região e produtor² - 2005-2022 (b);;;;;;;;;;;;;;;;;;;;;;
;Produção de biodiesel¹ - B100 por Grandes Regiões - 2005-2025 (b);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Dados atualizados em 25 de agosto de 2025.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Produção de biodiesel¹ - B100 por estado e produtor² - 2005-2022 (b);;;;;;;;;;;;;;;;;;;;;;
;Selecione, clicando nas setas abaixo, o ESTADO  e o PRODUTOR desejados.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;ESTADO;(Tudo);;;;;;;;;;;;;;;;;;;;;
;PRODUTOR;(Tudo);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;ANO;;;;;;;;;;;;;;;;;;VARIAÇÃO DO ACUMULADO ;;;
;MÊS;2005;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;2017.0;2018.0;2019.0;2020.0;2021.0;2022.0;NO ANO 2022/ 2021 (%) ³;;;
;Janeiro;0;6763.432693000001;107610.71764958999;482959.55742583;568299.3598560899;927336.09316175;1171963.9500838104;1213973.35206103;1424675.13116813;1542358.5518256398;2009886.73971595;1706978.3398786203;1606170.2404383302;2121231.7741708304;2808449.04940332;2941086.92104291;3199047.5335245603;2854891.1383697507;-10.758089448443876;;;
;Fevereiro;0;6561.592690099999;106503.72366921;484850.24286278005;504595.84339578;1119897.4501172802;1111932.68887352;1349837.1100043703;1294053.77890435;1512878.86649588;1909551.00500666;1887354.3095453302;1634168.7069621403;2127837.6156742806;2611836.0232789502;3039149.3108544694;3317656.9714593203;3078952.5305251405;-8.944104119547337;;;
